"","OBJECTID","gap","plot_id","gap_type","Fd","ZO0L_UNIT","SS1","SS1_","SI1","SS2","SS2_","SI2","SS3","SS3_","SI3","SST","SIT","tphg","mean_density","sem_density"
"1",10,"10","10_ 10","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,NA
"2",183,"100","100_ 183","S",1000,"IDFxm/IDFdk3",4,0.7,13.4,1,0.3,16.75,0,0,0,3.1,14.405,8000,1600,1363.81816969859
"3",199,"100","100_ 199","S",0,"IDFxm/IDFdk3",1,1,16.75,0,0,0,0,0,0,1,16.75,8000,1600,1363.81816969859
"4",345,"100","100_ 345","S",0,"IDFxm/IDFdk3",4,0.7,13.4,1,0.3,16.75,0,0,0,3.1,14.405,8000,1600,1363.81816969859
"5",40,"100","100_ 40","S",7000,"IDFxm/IDFdk3",1,1,16.75,0,0,0,0,0,0,1,16.75,8000,1600,1363.81816969859
"6",478,"100","100_ 478","S",0,"IDFxm/IDFdk3",4,0.7,13.4,1,0.3,16.75,0,0,0,3.1,14.405,8000,1600,1363.81816969859
"7",88,"100","100_ 88","S",0,"IDFxm/IDFdk3",4,0.7,13.4,1,0.3,16.75,0,0,0,3.1,14.405,8000,1600,1363.81816969859
"8",118,"103","103_ 118","S",0,"IDFxm/IDFdk3",1,0.8,16.75,4,0.2,13.4,0,0,0,1.6,16.08,1000,333.333333333333,333.333333333333
"9",321,"103","103_ 321","S",0,"IDFxm/IDFdk3",4,0.8,13.4,2,0.2,12,0,0,0,3.6,13.12,1000,333.333333333333,333.333333333333
"10",549,"103","103_ 549","S",1000,"IDFxm/IDFdk3",4,0.8,13.4,2,0.2,12,0,0,0,3.6,13.12,1000,333.333333333333,333.333333333333
"11",511,"104","104_ 511","S",3000,"IDFxm/IDFdk3",4,0.8,13.4,2,0.2,12,0,0,0,3.6,13.12,3000,3000,NA
"12",107,"105","105_ 107","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"13",110,"105","105_ 110","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"14",196,"105","105_ 196","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"15",267,"105","105_ 267","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"16",348,"105","105_ 348","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"17",391,"105","105_ 391","S",1000,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"18",418,"105","105_ 418","N",9000,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"19",570,"105","105_ 570","N",1000,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"20",572,"105","105_ 572","N",0,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,11000,1833.33333333333,1447.21955640616
"21",41,"106","106_ 41","S",7000,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,10000,5000,2000
"22",492,"106","106_ 492","S",3000,"IDFdk3",8,0.6,21.9,7,0.2,20.2,1,0.2,17.1,6.4,20.6,10000,5000,2000
"23",384,"107","107_ 384","N",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA
"24",254,"108","108_ 254","S",3000,"IDFdk3",8,0.5,21.9,1,0.3,17.1,7,0.2,20.2,5.7,20.12,3000,3000,NA
"25",64,"109","109_ 64","N",0,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,0,0,0
"26",99,"109","109_ 99","N",0,"IDFdk3",1,0.9,17.1,5,0.1,15,0,0,0,1.4,16.89,0,0,0
"27",133,"11","11_ 133","S",0,"IDFxm",1,0.8,16.4,3,0.1,13,0.1,0,14.8,1.1,14.42,0,0,0
"28",462,"11","11_ 462","S",0,"IDFxm",1,0.8,16.4,3,0.1,13,0.1,0,14.8,1.1,14.42,0,0,0
"29",1,"111","111_ 1","S",0,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"30",180,"111","111_ 180","S",31000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,70000,5000,2277.45761471277
"31",19,"111","111_ 19","S",3000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"32",272,"111","111_ 272","S",1000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"33",3,"111","111_ 3","S",0,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"34",314,"111","111_ 314","S",2000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"35",393,"111","111_ 393","S",3000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,70000,5000,2277.45761471277
"36",394,"111","111_ 394","S",16000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"37",413,"111","111_ 413","S",6000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"38",425,"111","111_ 425","S",2000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"39",439,"111","111_ 439","S",0,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"40",474,"111","111_ 474","N",2000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,70000,5000,2277.45761471277
"41",487,"111","111_ 487","S",3000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"42",496,"111","111_ 496","S",0,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"43",89,"111","111_ 89","S",1000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,70000,5000,2277.45761471277
"44",144,"112","112_ 144","S",0,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,9000,1800,800
"45",192,"112","112_ 192","S",0,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,9000,1800,800
"46",278,"112","112_ 278","S",2000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,9000,1800,800
"47",29,"112","112_ 29","S",3000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,9000,1800,800
"48",388,"112","112_ 388","S",0,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,9000,1800,800
"49",421,"112","112_ 421","S",4000,"IDFdk3",8,0.7,21.9,1,0.2,17.1,7,0.1,20.2,6.5,20.77,9000,1800,800
"50",14,"113","113_ 14","S",1000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,8000,4000,3000
"51",347,"113","113_ 347","S",7000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,8000,4000,3000
"52",179,"114","114_ 179","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"53",300,"114","114_ 300","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"54",337,"114","114_ 337","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"55",366,"114","114_ 366","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"56",488,"114","114_ 488","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"57",54,"114","114_ 54","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"58",56,"114","114_ 56","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"59",98,"114","114_ 98","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"60",101,"115","115_ 101","S",7000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,60000,5000,2549.50975679639
"61",116,"115","115_ 116","S",0,"IDFdk3",5,0.7,15,8,0.2,21.9,1,0.1,17.1,5.2,16.59,60000,5000,2549.50975679639
"62",132,"115","115_ 132","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"63",152,"115","115_ 152","N",5000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"64",231,"115","115_ 231","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"65",251,"115","115_ 251","S",1000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"66",270,"115","115_ 270","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"67",290,"115","115_ 290","S",1000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"68",315,"115","115_ 315","S",32000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"69",353,"115","115_ 353","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"70",36,"115","115_ 36","N",1000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"71",419,"115","115_ 419","S",4000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"72",461,"115","115_ 461","N",1000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"73",525,"115","115_ 525","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,60000,5000,2549.50975679639
"74",564,"115","115_ 564","N",2000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,60000,5000,2549.50975679639
"75",86,"115","115_ 86","S",6000,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,60000,5000,2549.50975679639
"76",521,"117","117_ 521","S",0,"IDFdk3",1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06,0,0,NA
"77",202,"118","118_ 202","N",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,6000,2000,1527.52523165195
"78",259,"118","118_ 259","N",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,6000,2000,1527.52523165195
"79",294,"118","118_ 294","N",1000,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,6000,2000,1527.52523165195
"80",303,"118","118_ 303","S",0,"IDFdk3",5,0.5,15,1,0.4,17.1,8,0.1,21.9,3.7,16.53,6000,2000,1527.52523165195
"81",517,"118","118_ 517","N",5000,"IDFdk3",5,0.7,15,8,0.2,21.9,1,0.1,17.1,5.2,16.59,6000,2000,1527.52523165195
"82",217,"119","119_ 217","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,1000,250,250
"83",218,"119","119_ 218","S",1000,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,1000,250,250
"84",480,"119","119_ 480","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,1000,250,250
"85",57,"119","119_ 57","S",0,"IDFdk3",0,0,0,0,0,0,0,0,0,NA,NA,1000,250,250
"86",382,"12","12_ 382","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,NA
"87",82,"121","121_ 82","N",0,"IDFxm",2,0.6,12,4,0.3,14.8,0.1,0,16.4,2.4,11.64,0,0,NA
"88",175,"122","122_ 175","N",0,"IDFxm",2,0.6,12,4,0.3,14.8,0.1,0,16.4,2.4,11.64,0,0,0
"89",207,"122","122_ 207","N",0,"IDFxm",2,0.6,12,4,0.3,14.8,0.1,0,16.4,2.4,11.64,0,0,0
"90",46,"122","122_ 46","N",0,"IDFxm",2,0.6,12,4,0.3,14.8,0.1,0,16.4,2.4,11.64,0,0,0
"91",90,"122","122_ 90","N",0,"IDFxm",2,0.6,12,4,0.3,14.8,0.1,0,16.4,2.4,11.64,0,0,0
"92",135,"123","123_ 135","S",2000,"IDFdk3",1,0.6,17.1,2,0.2,12,4,0.2,12,1.8,15.06,4000,1333.33333333333,666.666666666667
"93",302,"123","123_ 302","S",0,"IDFdk3",1,1,17.1,0,0,0,0,0,0,1,17.1,4000,1333.33333333333,666.666666666667
"94",571,"123","123_ 571","S",2000,"IDFdk3",1,1,17.1,0,0,0,0,0,0,1,17.1,4000,1333.33333333333,666.666666666667
"95",244,"124","124_ 244","N",0,"IDFdk3",5,0.7,15,8,0.2,21.9,1,0.1,17.1,5.2,16.59,1000,500,500
"96",556,"124","124_ 556","N",1000,"IDFdk3",5,0.7,15,8,0.2,21.9,1,0.1,17.1,5.2,16.59,1000,500,500
"97",387,"125","125_ 387","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,8000,4000,4000
"98",49,"125","125_ 49","S",8000,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,8000,4000,4000
"99",25,"126","126_ 25","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,0,0,0
"100",279,"126","126_ 279","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,0,0,0
"101",94,"126","126_ 94","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,0,0,0
"102",193,"127","127_ 193","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,0,0,0
"103",76,"127","127_ 76","S",0,"IDFdk3",1,0.7,17.1,4,0.3,12,0,0,0,1.9,15.57,0,0,0
"104",140,"129","129_ 140","N",0,"IDFxm",2,0.5,12,4,0.5,14.8,0,0,0,3,13.4,0,0,NA
"105",109,"13","13_ 109","S",2000,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,3000,1000,577.350269189626
"106",531,"13","13_ 531","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,3000,1000,577.350269189626
"107",77,"13","13_ 77","S",1000,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,3000,1000,577.350269189626
"108",15,"131","131_ 15","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"109",158,"132","132_ 158","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"110",275,"133","133_ 275","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,2000,666.666666666667,333.333333333333
"111",343,"133","133_ 343","S",1000,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,2000,666.666666666667,333.333333333333
"112",576,"133","133_ 576","S",1000,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,2000,666.666666666667,333.333333333333
"113",260,"134","134_ 260","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"114",334,"134","134_ 334","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"115",376,"134","134_ 376","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"116",380,"134","134_ 380","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"117",430,"134","134_ 430","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"118",534,"134","134_ 534","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"119",87,"134","134_ 87","S",3000,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,3000,428.571428571429,428.571428571428
"120",214,"135","135_ 214","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"121",342,"136","136_ 342","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"122",520,"136","136_ 520","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"123",174,"137","137_ 174","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"124",120,"138","138_ 120","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"125",70,"138","138_ 70","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"126",92,"138","138_ 92","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"127",105,"139","139_ 105","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"128",495,"139","139_ 495","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"129",331,"14","14_ 331","S",0,"IDFxm",1,0.8,16.4,3,0.1,13,0.1,0,14.8,1.1,14.42,0,0,NA
"130",405,"140","140_ 405","S",1000,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,1000,1000,NA
"131",35,"141","141_ 35","S",5000,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,5000,5000,NA
"132",427,"142","142_ 427","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"133",447,"142","142_ 447","S",0,"IDFdk3",8,1,21.9,0,0,0,0,0,0,8,21.9,0,0,0
"134",156,"143","143_ 156","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"135",112,"144","144_ 112","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"136",358,"144","144_ 358","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"137",546,"145","145_ 546","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,NA
"138",255,"147","147_ 255","S",0,"IDFdk3",8,0.5,21.9,4,0.3,12,5,0.2,15,6.2,17.55,0,0,NA
"139",187,"148","148_ 187","S",0,"IDFdk3",8,0.8,21.9,5,0.2,15,0,0,0,7.4,20.52,0,0,0
"140",346,"148","148_ 346","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"141",352,"148","148_ 352","S",0,"IDFdk3",1,0.9,17.1,4,0.1,12,0,0,0,1.3,16.59,0,0,0
"142",102,"149","149_ 102","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,0
"143",249,"149","149_ 249","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,0
"144",289,"149","149_ 289","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,0
"145",83,"149","149_ 83","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,0,0,0
"146",145,"150","150_ 145","S",1000,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,1000,500,500
"147",544,"150","150_ 544","S",0,"IDFdk3",1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06,1000,500,500
"148",149,"151","151_ 149","S",0,"IDFdk3",8,0.8,21.9,5,0.2,15,0,0,0,7.4,20.52,0,0,0
"149",338,"151","151_ 338","S",0,"IDFdk3",8,0.5,21.9,4,0.3,12,5,0.2,15,6.2,17.55,0,0,0
