OBJECTID,gap,plot_id,gap_type,Fd,ZO0L_UNIT,SS1,SS1_,SI1,SS2,SS2_,SI2,SS3,SS3_,SI3,SST,SIT
280,17,17_ 280,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
37,17,17_ 37,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
498,17,17_ 498,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
541,17,17_ 541,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
581,17,17_ 581,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
242,170,170_ 242,N,0,IDFdk3,5,1,15,0,0,0,0,0,0,5,15
332,170,170_ 332,N,0,IDFdk3,5,1,15,0,0,0,0,0,0,5,15
465,170,170_ 465,N,0,IDFdk3,5,1,15,0,0,0,0,0,0,5,15
513,170,170_ 513,N,0,IDFdk3,5,1,15,0,0,0,0,0,0,5,15
67,170,170_ 67,N,0,IDFdk3,5,1,15,0,0,0,0,0,0,5,15
587,171,171_ 587,S,0,,,,,,,,,,,,
13,172,172_ 13,N,0,IDFdk3,9,1,0,0,0,0,0,0,0,9,
268,172,172_ 268,N,0,IDFdk3,0,0,0,0,0,0,0,0,0,,
326,172,172_ 326,N,0,IDFdk3,0,0,0,0,0,0,0,0,0,,
410,172,172_ 410,N,0,IDFdk3,9,1,0,0,0,0,0,0,0,9,
582,172,172_ 582,N,0,IDFdk3,9,1,0,0,0,0,0,0,0,9,
216,173,173_ 216,N,0,,,,,,,,,,,,
263,173,173_ 263,N,1000,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
296,173,173_ 296,N,3000,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
51,173,173_ 51,N,0,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
65,173,173_ 65,N,1000,,,,,,,,,,,,
68,173,173_ 68,N,5000,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
201,174,174_ 201,N,5000,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
27,174,174_ 27,N,0,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
285,174,174_ 285,N,2000,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
291,174,174_ 291,N,1000,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
328,174,174_ 328,N,0,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
162,175,175_ 162,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
200,175,175_ 200,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
21,175,175_ 21,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
210,175,175_ 210,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
227,175,175_ 227,S,11000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
31,175,175_ 31,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
341,175,175_ 341,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
381,175,175_ 381,S,13000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
431,175,175_ 431,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
433,175,175_ 433,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
443,175,175_ 443,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
449,175,175_ 449,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
45,175,175_ 45,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
457,175,175_ 457,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
497,175,175_ 497,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
500,175,175_ 500,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
125,176,176_ 125,S,12000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
161,176,176_ 161,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
228,176,176_ 228,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
26,176,176_ 26,S,7000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
262,176,176_ 262,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
195,177,177_ 195,S,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
226,177,177_ 226,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
505,177,177_ 505,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
153,178,178_ 153,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
320,178,178_ 320,S,10000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
555,179,179_ 555,N,0,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
113,180,180_ 113,S,25000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
264,180,180_ 264,S,30000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
311,180,180_ 311,S,7000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
368,182,182_ 368,N,0,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
363,183,183_ 363,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
306,184,184_ 306,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
117,185,185_ 117,S,0,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
142,185,185_ 142,S,10000,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
178,185,185_ 178,S,2000,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
190,185,185_ 190,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
277,185,185_ 277,S,13000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
297,185,185_ 297,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
351,185,185_ 351,S,11000,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
515,185,185_ 515,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
526,185,185_ 526,S,0,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
577,185,185_ 577,N,10000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
66,185,185_ 66,S,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
71,185,185_ 71,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
414,187,187_ 414,N,0,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
463,187,187_ 463,N,1000,IDFdk3,5,0.8,15,8,0.2,21.9,0,0,0,5.6,16.38
466,187,187_ 466,N,0,IDFdk3,7,0.8,20.2,5,0.1,15,8,0.1,21.9,6.9,19.85
121,188,188_ 121,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
146,188,188_ 146,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
250,189,189_ 250,N,10000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
284,189,189_ 284,N,19000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
557,189,189_ 557,N,23000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
336,19,19_ 336,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
165,192,192_ 165,S,57000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
215,193,193_ 215,S,4000,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
28,193,193_ 28,S,9000,IDFdk3,1,0.6,17.1,8,0.4,21.9,0,0,0,3.8,19.02
310,194,194_ 310,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
365,194,194_ 365,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
536,194,194_ 536,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
177,196,196_ 177,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
248,196,196_ 248,S,0,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
286,196,196_ 286,S,11000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
313,196,196_ 313,S,2000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
424,196,196_ 424,S,4000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
445,196,196_ 445,N,5000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
552,196,196_ 552,S,0,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
575,196,196_ 575,S,0,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
404,197,197_ 404,S,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
171,199,199_ 171,S,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
386,199,199_ 386,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
506,199,199_ 506,S,0,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
583,199,199_ 583,S,7000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
154,2,2_ 154,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
238,2,2_ 238,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
281,2,2_ 281,S,2000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
292,2,2_ 292,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
317,2,2_ 317,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
330,2,2_ 330,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
434,2,2_ 434,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
486,2,2_ 486,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
503,2,2_ 503,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
522,2,2_ 522,S,2000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
59,2,2_ 59,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
155,20,20_ 155,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
164,20,20_ 164,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
189,20,20_ 189,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
20,20,20_ 20,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
235,20,20_ 235,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
239,20,20_ 239,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
312,20,20_ 312,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
324,20,20_ 324,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
428,20,20_ 428,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
483,20,20_ 483,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
484,20,20_ 484,S,1000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
491,20,20_ 491,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
9,20,20_ 9,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
329,200,200_ 329,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
62,200,200_ 62,S,9000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
355,201,201_ 355,S,14000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
364,201,201_ 364,N,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
529,201,201_ 529,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
129,202,202_ 129,N,12000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
131,202,202_ 131,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
168,202,202_ 168,N,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
184,202,202_ 184,N,2000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
194,202,202_ 194,S,8000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
257,202,202_ 257,S,0,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
288,202,202_ 288,N,14000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
307,202,202_ 307,S,2000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
423,202,202_ 423,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
437,202,202_ 437,N,11000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
468,202,202_ 468,N,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
530,202,202_ 530,N,39000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
245,203,203_ 245,N,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
401,204,204_ 401,S,9000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
48,204,204_ 48,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
106,205,205_ 106,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
2,205,205_ 2,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
211,205,205_ 211,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
237,205,205_ 237,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
472,205,205_ 472,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
514,205,205_ 514,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
584,205,205_ 584,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
588,205,205_ 588,S,7000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
111,206,206_ 111,S,17000,IDFdk3,1,0.8,17.1,8,0.2,21.9,0,0,0,2.4,18.06
138,206,206_ 138,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
319,206,206_ 319,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
524,206,206_ 524,S,4000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
548,206,206_ 548,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
72,206,206_ 72,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
467,208,208_ 467,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
6,209,209_ 6,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
304,21,21_ 304,S,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
377,21,21_ 377,S,4000,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
432,21,21_ 432,N,0,IDFdk3,1,0.6,17.1,4,0.4,12,0,0,0,2.2,15.06
323,210,210_ 323,S,5000,IDFdk3,0,0,0,0,0,0,0,0,0,,
450,210,210_ 450,S,28000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
141,211,211_ 141,S,18000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
283,211,211_ 283,S,27000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
33,211,211_ 33,S,9000,IDFdk3,8,1,21.9,0,0,0,0,0,0,8,21.9
69,211,211_ 69,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
356,213,213_ 356,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
422,213,213_ 422,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
435,213,213_ 435,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
460,213,213_ 460,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
573,213,213_ 573,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
43,214,214_ 43,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
124,216,216_ 124,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
128,216,216_ 128,N,27000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
157,216,216_ 157,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
185,216,216_ 185,N,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
246,216,216_ 246,N,25000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
322,216,216_ 322,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
344,216,216_ 344,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
379,216,216_ 379,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
53,216,216_ 53,N,5000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
553,216,216_ 553,N,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
586,216,216_ 586,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
159,217,217_ 159,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
169,217,217_ 169,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
589,217,217_ 589,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
243,218,218_ 243,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
507,219,219_ 507,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
532,22,22_ 532,S,0,IDFxm,1,1,16.4,0,0,0,0,0,0,1,16.4
222,220,220_ 222,S,19000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
240,220,220_ 240,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
274,220,220_ 274,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
378,220,220_ 378,S,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
411,220,220_ 411,S,6000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
436,220,220_ 436,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
479,220,220_ 479,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
96,220,220_ 96,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
371,223,223_ 371,S,2000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
188,225,225_ 188,S,8000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
212,225,225_ 212,S,0,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
370,225,225_ 370,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
265,226,226_ 265,N,3000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
97,226,226_ 97,N,9000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
585,227,227_ 585,S,1000,IDFdk3,1,1,17.1,0,0,0,0,0,0,1,17.1
